job_id,detailed_welfare
35BB7E70,Chế độ bảo hiểm
35BB7E70,Du Lịch
35BB7E70,Chế độ thưởng
35BB7E70,Chăm sóc sức khỏe
35BB7E70,Đào tạo
35BB7E70,Tăng lương
35BB7E70,Nghỉ phép năm
35BB7E5A,Laptop
35BB7E5A,Chế độ bảo hiểm
35BB7E5A,Du Lịch
35BB7E5A,Phụ cấp
35BB7E5A,Đồng phục
35BB7E5A,Chế độ thưởng
35BB7E5A,Chăm sóc sức khỏe
35BB7E5A,Đào tạo
35BB7E5A,Tăng lương
35BB7E5A,Công tác phí
35BB7E5A,Phụ cấp thâm niên
35BB7E5A,Nghỉ phép năm
35BB7E5D,Laptop
35BB7E5D,Chế độ bảo hiểm
35BB7E5D,Du Lịch
35BB7E5D,Phụ cấp
35BB7E5D,Đồng phục
35BB7E5D,Chế độ thưởng
35BB7E5D,Chăm sóc sức khỏe
35BB7E5D,Đào tạo
35BB7E5D,Tăng lương
35BB7E5D,Công tác phí
35BB7E5D,Phụ cấp thâm niên
35BB7E5D,Nghỉ phép năm
35BB7E59,Chế độ bảo hiểm
35BB7E59,Du Lịch
35BB7E59,Phụ cấp
35BB7E59,Du lịch nước ngoài
35BB7E59,Đồng phục
35BB7E59,Chế độ thưởng
35BB7E59,Đào tạo
35BB7E59,Tăng lương
35BB7E59,Công tác phí
35BB7E59,Phụ cấp thâm niên
35BB7E59,Nghỉ phép năm
35BB7E59,CLB thể thao
35BB7E5F,Laptop
35BB7E5F,Chế độ bảo hiểm
35BB7E5F,Du Lịch
35BB7E5F,Phụ cấp
35BB7E5F,Du lịch nước ngoài
35BB7E5F,Đồng phục
35BB7E5F,Chế độ thưởng
35BB7E5F,Chăm sóc sức khỏe
35BB7E5F,Đào tạo
35BB7E5F,Tăng lương
35BB7E5F,Công tác phí
35BB7E5F,Nghỉ phép năm
35BB7E5F,CLB thể thao
35BB7E60,Chế độ bảo hiểm
35BB7E60,Du Lịch
35BB7E60,Chế độ thưởng
35BB7E60,Đào tạo
35BB7E60,Tăng lương
35BB7E5C,Laptop
35BB7E5C,Chế độ bảo hiểm
35BB7E5C,Du Lịch
35BB7E5C,Phụ cấp
35BB7E5C,Đồng phục
35BB7E5C,Chế độ thưởng
35BB7E5C,Chăm sóc sức khỏe
35BB7E5C,Đào tạo
35BB7E5C,Tăng lương
35BB7E5C,Công tác phí
35BB7E5C,Phụ cấp thâm niên
35BB7E5C,Nghỉ phép năm
